Category,Neutral,Oppose,Support
"Branding, Marketing and Distribution 001",0,1,7
Dail Eireann 001,10,88,206
"Department of Agriculture, Food and the Marine 004",24,7,103
Inputs 009,1,0,2
Inputs 015,1,0,5
Political Party 002,23,40,151
Political Party 003,28,37,171
Political Party 004,11,26,195
Processors 004,0,0,3
Processors 006,0,0,4
Research and Regulatory 092,2,0,8
Seanad Eireann 001,21,10,79
Semi-state agency  011,5,1,3
Semi-state agency 012,14,3,33
State Agencies  001,1,0,11
Trade Association 011,11,12,32
Trade Association 013,6,14,36
