Stakeholder,Category,Labels,topic,Source,Maping
Bord Bia The Irish Food Board,"Branding, Marketing and Distribution","Branding, Marketing and Distribution 001","""['live', car, 'carbon']""","""['Sentiment Analysis', 'Publications', 'Food Vision Action', 'Food Vision Report', 'Action Plan']""",complete_network_branding_1
Rural Communities,Civil Society,Civil Society 013,"""['live', car]""","""['Publications', 'Food Vision Action', 'Food Vision Report']""",complete_network_civil
Dail Eireann,Dail Eireann,Dail Eireann 001,"""['live', 'water', 'carbon']""","""['Sentiment Analysis']""",complete_network_dail
"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004","""['live', 'water', 'carbon']""","""['Sentiment Analysis', 'Publications', 'FoodWise', 'Food Vision Action', 'Food Vision Report', 'Action Plan']""",complete_network_dafm
AgNav Platform,Inputs,Inputs 001,"""['carbon']""","""['Food Vision Report']""",complete_network_input_1
Devenish Nutrition,Inputs,Inputs 009,"""['live', 'water', 'carbon']""","""['Sentiment Analysis']""",complete_network_input_9
Grassland AGRO,Inputs,Inputs 015,"""['live', 'water', 'carbon']""","""['Sentiment Analysis']""",complete_network_input_15
Fianna FÃ¡il,Political party,Political Party 002,"""['live', 'water', 'carbon']""","""['Sentiment Analysis']""",complete_network_pp_2
Fine Gael,Political party,Political Party 003,"""['live', 'water', 'carbon']""","""['Sentiment Analysis']""",complete_network_pp_3
Dairygold Co Operative Society Limited,Processors,Processors 004,"""['live', 'water', 'carbon']""","""['Sentiment Analysis']""",complete_network_pr_4
Food Processors,Processors,Processors 005,"""['live']""","""['Food Vision Action']""",complete_network_pr_5
Glanbia Ireland,Processors,Processors 006,"""['live', 'water', 'carbon']""","""['Sentiment Analysis', 'Food Vision Action']""",complete_network_pr_6
University College Dublin,Research and Regulatory,Research and Regulatory 092,"""['live', 'water', 'carbon']""","""['Sentiment Analysis', 'FoodWise', 'Food Vision Report']""",complete_network_rr_92
Sustainable Food Systems Ireland,Research and Regulatory,Research and Regulatory 085,"""['live', 'carbon']""","""['Food Vision Report']""",complete_network_rr_85
Food for Health Ireland,Research and Regulatory,Research and Regulatory 035,"""['live', 'carbon']""","""['Food Vision Action']""",complete_network_rr_35
Seanad Eireann,Seanad Eireann,Seanad Eireann 001,"""['live', 'water', 'carbon']""","""['Sentiment Analysis']""",complete_network_seanad
Environmental Protection Agency,State Agencies ,State Agencies  001,"""['live', car, 'water', 'carbon']""","""['Sentiment Analysis', 'Publications', 'FoodWise', 'Food Vision Action', 'Food Vision Report', 'Action Plan']""",complete_network_sa
Uisce Ã‰ireann,Semi-state agency,Semi-state agency 015,"""['water']""","""['Action Plan']""",complete_network_ssa15
Teagasc The Agriculture and Food Development Authority,Semi-state agency,Semi-state agency 012,"""['live', 'water', 'carbon']""","""['Sentiment Analysis', 'Publications', 'FoodWise', 'Food Vision Action', 'Food Vision Report', 'Action Plan']""",complete_network_ssa12
Irish Creamery Milk Suppliers Association,Trade Association,Trade Association 011,"""['live', 'water', car, 'carbon']""","""['Sentiment Analysis', 'Publications', 'Food Vision Action', 'Food Vision Report']""",complete_network_ta11
Irish Farmers' Association,Trade Association,Trade Association 013,"""['live', 'water', car, 'carbon']""","""['Sentiment Analysis', 'Publications', 'FoodWise', 'Food Vision Action', 'Food Vision Report', 'Action Plan']""",complete_network_ta13
