Category,Neutral,Oppose,Support
"Branding, Marketing and Distribution",0,1,10
Dail Eireann,30,47,55
"Department of Agriculture, Food and the Marine",60,4,143
"Department of Business, Employment and Retail",1,0,6
"Department of Environment, Climate and Communications",0,0,1
Department of Finance,3,3,33
Department of Foreign Affair,0,0,1
Department of Public Expenditure and Reform,13,0,9
Department of Rural and Community Development,1,0,2
"Department of Transport, Tourism and Sport",3,0,30
Department of the Taoiseach,1,0,1
Government of Ireland,10,4,43
Inputs,4,0,12
International organisation,2,2,4
Multinational Processors,1,0,3
NGO,19,17,36
Political Party,140,249,490
Processors,2,1,4
Producers,0,3,0
Research and Regulatory,70,30,164
Seanad Eireann,17,28,54
Semi State agency,52,4,78
Semi State agency ,6,5,8
State Agencies ,3,0,10
State Agencies and Local Authorities,0,0,2
Telecommunications and Financial Services,5,1,4
Trade Association,40,20,79
