Category,Neutral,Oppose,Support
"Branding, Marketing and Distribution 001",0,1,10
Dail Eireann 001,29,47,48
"Department of Agriculture, Food and the Marine 004",62,4,144
Inputs 009,1,0,7
Inputs 015,2,0,0
Political Party 002,19,23,50
Political Party 003,37,11,92
Political Party 004,32,29,328
Processors 004,2,0,2
Processors 006,1,0,3
Seanad Eireann 001,32,55,84
Semi-state agency  011,6,5,8
Semi-state agency 012,52,4,78
State Agencies  001,3,0,10
Trade Association 011,14,8,22
Trade Association 013,15,10,37
