Category,Neutral,Oppose,Support
Dail Eireann,4,19,39
"Department of Agriculture, Food and the Marine",57,7,99
"Department of Business, Employment and Retail",0,0,7
Department of Finance,0,0,1
Department of Health,1,0,7
"Department of Housing, Local Government and Heritage",0,0,6
Government of Ireland,2,2,23
Inputs,4,0,6
International organisation,0,9,0
Multinational Processors,3,0,5
NGO,30,32,54
Political Party,72,122,223
Processors,23,5,27
Producers,1,1,0
Research and Regulatory,35,3,20
Seanad Eireann,9,11,15
Semi State agency,26,5,27
Semi State agency ,51,34,78
State Agencies ,13,4,22
Telecommunications and Financial Services,7,1,1
Trade Association,30,25,45
